loss,acc,val_loss,val_acc
1.124786,0.323038,1.116052,0.417910
1.112003,0.366444,1.108468,0.320896
1.103818,0.378965,1.104488,0.313433
1.092733,0.379800,1.105615,0.276119
1.086216,0.397329,1.114062,0.350746
1.078002,0.409015,1.111417,0.313433
1.066767,0.435726,1.105943,0.373134
1.054414,0.441569,1.118435,0.335821
1.043163,0.458264,1.087172,0.402985
1.032822,0.488314,1.112498,0.373134
1.017723,0.489983,1.154632,0.388060
0.998583,0.500835,1.145489,0.380597
0.969463,0.537563,1.142661,0.410448
0.936381,0.555927,1.214792,0.373134
0.896634,0.580134,1.227464,0.388060
0.853389,0.621870,1.272672,0.358209
0.829020,0.632721,1.326067,0.365672
0.771758,0.662771,1.447473,0.365672
0.687856,0.707012,1.341294,0.402985
0.640492,0.736227,1.463007,0.402985
0.576759,0.779633,1.699669,0.388060
0.482119,0.823038,1.918010,0.358209
0.442154,0.828047,2.026452,0.350746
0.390984,0.858932,2.045774,0.365672
0.339075,0.883973,2.193385,0.402985
0.257249,0.918197,2.412313,0.373134
0.197088,0.944908,2.441144,0.373134
0.156353,0.963272,2.998496,0.373134
0.134318,0.972454,2.921362,0.365672
0.103345,0.980801,3.157622,0.402985
0.089676,0.988314,3.054314,0.388060
0.209810,0.932387,3.146285,0.395522
0.162311,0.957429,3.345115,0.350746
0.139200,0.964942,3.235062,0.388060
0.071309,0.992487,3.134020,0.402985
0.043366,1.000000,3.324765,0.380597
0.035001,1.000000,3.379161,0.380597
0.032065,1.000000,3.401153,0.365672
0.030211,1.000000,3.421618,0.380597
0.028923,1.000000,3.427127,0.373134
0.027776,1.000000,3.426954,0.380597
0.026762,1.000000,3.415523,0.373134
0.025783,1.000000,3.419130,0.373134
0.024880,1.000000,3.414838,0.373134
0.024009,1.000000,3.422035,0.373134
0.023236,1.000000,3.407013,0.380597
0.022517,1.000000,3.401175,0.388060
0.021768,1.000000,3.402421,0.388060
0.021092,1.000000,3.383509,0.388060
0.020509,1.000000,3.379888,0.380597
